corp_code,year,status,message,total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,stock_code,corp_name,market,debt_ratio,roa,operating_margin,log_assets
00500254,2020,000,정상,24476843000000.0,13720298000000.0,10756545000000.0,15444214000000.0,920569000000.0,-187776000000.0,078930,GS,KOSPI,1.2755302004500515,-0.0076715775804910786,0.059606076424478446,30.828748602838004
00500254,2021,000,정상,31191287000000.0,16988343000000.0,14202944000000.0,20240085000000.0,2640272000000.0,1614682000000.0,078930,GS,KOSPI,1.1961141999855804,0.05176708482724679,0.1304476735152051,31.07115990892235
00500254,2022,000,정상,33922242000000.0,17434432000000.0,16487810000000.0,28777048000000.0,5005127000000.0,2482704000000.0,078930,GS,KOSPI,1.0574134466615033,0.07318808703740749,0.17392774269271816,31.155092021366073
00500254,2023,000,정상,34448425000000.0,16823230000000.0,17625195000000.0,25978494000000.0,3721802000000.0,1578711000000.0,078930,GS,KOSPI,0.9544989431322604,0.045828249041864756,0.1432647327439381,31.170484393910584
00500254,2024,000,정상,35063398000000.0,16593042000000.0,18470356000000.0,25297467000000.0,3060163000000.0,863517000000.0,078930,GS,KOSPI,0.89836070295559,0.024627305088913518,0.12096717034950574,31.188178910291697
00500254,2025,000,정상,35707911000000.0,16513794000000.0,19194117000000.0,25184127000000.0,2936061000000.0,1038137000000.0,078930,GS,KOSPI,0.8603570562792756,0.029073025302432283,0.11658379105219728,31.206393376803888
00138190,2019,000,정상,1205244855027.0,825321063730.0,379923791297.0,3889400298212.0,58277395763.0,-16661330444.0,001250,GS글로벌,KOSPI,2.172333195856158,-0.013824021214035177,0.014983645625211362,27.81770386142154
00138190,2020,000,정상,956821701333.0,657805876104.0,299015825229.0,2815020979457.0,32299928715.0,-82139431429.0,001250,GS글로벌,KOSPI,2.199903217832107,-0.08584612087556868,0.011474134278470086,27.586882901044635
00138190,2021,000,정상,1442681820909.0,1100168067127.0,342513753782.0,3849040520289.0,38846703450.0,22028008413.0,001250,GS글로벌,KOSPI,3.212040553055352,0.015268791838744227,0.010092568068647728,27.99752487307639
00138190,2022,000,정상,1419412958453.0,1012698524738.0,406714433715.0,5070923117354.0,70467603982.0,68061370179.0,001250,GS글로벌,KOSPI,2.4899498045541106,0.047950365518135904,0.013896405516550187,27.981264492524293
00138190,2023,000,정상,1401098380370.0,953110256832.0,447988123538.0,3916492566786.0,76519058573.0,26078650864.0,001250,GS글로벌,KOSPI,2.127534652715305,0.01861300478922343,0.01953764938095976,27.968277602352618
00138190,2024,000,정상,1439641460000.0,872554135000.0,567087325000.0,4066493928000.0,77879797000.0,56067654000.0,001250,GS글로벌,KOSPI,1.5386592091438476,0.03894556773878963,0.019151583250562768,27.99541521240316
00138190,2025,000,정상,1452118858000.0,881712031000.0,570406827000.0,4109264561000.0,52300233000.0,13874085000.0,001250,GS글로벌,KOSPI,1.5457599545876404,0.009554372855613724,0.01272739494467414,28.004044887107682
01042775,2019,000,정상,4595620752355.0,3010006243656.0,1585614508699.0,5981877182405.0,218566072916.0,118239649304.0,204320,HL만도,KOSPI,1.8983215826687385,0.025728765639203094,0.03653804086096699,29.156124955616313
01042775,2020,000,정상,4938346284697.0,3228765245944.0,1709581038753.0,5563504491650.0,88701330636.0,13861437600.0,204320,HL만도,KOSPI,1.8886295371520505,0.002806898666250678,0.015943427522908917,29.22805163090089
01042775,2021,000,정상,5704365860108.0,3660109900441.0,2044255959667.0,6147433112950.0,232312044666.0,178615842352.0,204320,HL만도,KOSPI,1.7904362137886174,0.031312129469307615,0.037790089033521705,29.37225293795625
01042775,2022,000,정상,5845841407280.0,3572095295017.0,2273746112263.0,7516163841233.0,248102024875.0,118287647376.0,204320,HL만도,KOSPI,1.5710176592503493,0.02023449476899816,0.03300912940640471,29.396751653833608
01042775,2023,000,정상,6286700392151.0,3930545236233.0,2356155155918.0,8393086800929.0,279276996280.0,154600073679.0,204320,HL만도,KOSPI,1.6682030580034486,0.024591608321595782,0.033274646492287896,29.469457469056504
01042775,2024,000,정상,7052043027166.0,4379288260980.0,2672754766186.0,8848181871751.0,358760766831.0,158249191839.0,204320,HL만도,KOSPI,1.6384923586645437,0.02244019091054745,0.04054626950835986,29.584338481858776
01042775,2025,000,정상,7136602919112.0,4260786115044.0,2875816804068.0,9454812581023.0,357120974882.0,122802266761.0,204320,HL만도,KOSPI,1.4815916330333996,0.01720738398266947,0.03777134362227198,29.59625799742307
00109693,2019,000,정상,13445224177772.0,6708517368302.0,6736706809470.0,9700078891564.0,1130120991411.0,710307661773.0,000210,DL,KOSPI,0.9958155457903596,0.05282973733880164,0.11650637113826443,30.229645079201113
00109693,2020,000,정상,13901859840255.0,10690535919843.0,3211323920412.0,1566148811684.0,119049765679.0,572657162958.0,000210,DL,KOSPI,3.329012016474329,0.04119284538459969,0.07601433835076749,30.26304374857177
00109693,2021,000,정상,8180715293855.0,3793988663859.0,4386726629996.0,2358774796779.0,193162085397.0,728618667120.0,000210,DL,KOSPI,0.864879210369774,0.08906539843371726,0.08189085522737077,29.73280070695673
00109693,2022,000,정상,12018993889708.0,7401228917375.0,4617764972333.0,5174950425108.0,287459456441.0,101846515303.0,000210,DL,KOSPI,1.6027729782089215,0.008473797077991056,0.05554825318640628,30.117509338513017
00109693,2023,000,정상,12119563559885.0,7586162395568.0,4533401164317.0,5017815821242.0,150696391721.0,-120978168525.0,000210,DL,KOSPI,1.6733931369850272,-0.009982056525981694,0.030032268438999803,30.125842086010866
00109693,2024,000,정상,12535315407584.0,7749224680441.0,4786090727143.0,5615368498981.0,412518392958.0,94839002886.0,000210,DL,KOSPI,1.6191136194918745,0.007565745240731748,0.07346239040819105,30.159571009374936
00109693,2025,000,정상,12182144221519.0,7261068527491.0,4921075694028.0,5326721292281.0,298546039560.0,-96298295176.0,000210,DL,KOSPI,1.4755043366438585,-0.007904872362772972,0.05604686695221426,30.13099240717598
00148276,2019,000,정상,2252767351901.0,1295951762449.0,956815589452.0,3421672988229.0,205813034039.0,139453304163.0,030000,제일기획,KOSPI,1.3544425662955957,0.06190310954449965,0.0601498257568808,28.443180510573676
00148276,2020,000,정상,2242463952194.0,1226934683114.0,1015529269080.0,2747921881024.0,204917149866.0,158280183551.0,030000,제일기획,KOSPI,1.208172645014475,0.07058315626261932,0.07457167952301418,28.438596355920282
00148276,2021,000,정상,2542111414363.0,1414844027198.0,1127267387165.0,3325712307524.0,248179540772.0,,030000,제일기획,KOSPI,1.2551095182095486,,0.07462447675059729,28.564016117146423
00148276,2022,000,정상,2751445128079.0,1530015562245.0,1221429565834.0,4253367260000.0,311412761580.0,,030000,제일기획,KOSPI,1.2526433001482942,,0.07321558251238337,28.643147390699305
00148276,2023,000,정상,2889504607291.0,1591740851472.0,1297763755819.0,4138274796031.0,307522766415.0,190121613120.0,030000,제일기획,KOSPI,1.2265258945126536,0.0657973040223822,0.07431182837590768,28.692106187197176
00148276,2024,000,정상,3306550192963.0,1832516799814.0,1474033393149.0,4344256680956.0,320720587990.0,208342984365.0,030000,제일기획,KOSPI,1.2431989725138903,0.06300917034569611,0.07382634396258142,28.826926524034526
00148276,2025,000,정상,3587816549320.0,1999766713965.0,1588049835355.0,4546894943227.0,336889964137.0,208612517893.0,030000,제일기획,KOSPI,1.259259419599992,0.05814470027252045,0.07409231318151022,28.908564929865907
00877059,2019,000,정상,5911626511920.0,1557172766554.0,4354453745366.0,701591859755.0,91742387198.0,202904099088.0,207940,삼성바이오로직스,KOSPI,0.35760461761963597,0.03432288874793953,0.13076318649141253,29.407942123005103
00877059,2020,000,정상,6424201164962.0,1825417992598.0,4598783172364.0,1164776873641.0,292786554082.0,240974799963.0,207940,삼성바이오로직스,KOSPI,0.39693499871176696,0.037510469204683664,0.2513670735638599,29.491093406678296
00877059,2021,000,정상,7970010786863.0,2978908646183.0,4991102140680.0,1568006928039.0,537309408072.0,393589467655.0,207940,삼성바이오로직스,KOSPI,0.5968438557695287,0.04938380614286684,0.3426703023206514,29.706706962163004
00877059,2022,000,정상,16582050258486.0,7597575863329.0,8984474395157.0,3001295197683.0,983627394377.0,798056210082.0,207940,삼성바이오로직스,KOSPI,0.845633871183873,0.048127716274022764,0.32773430455503355,30.439341916524146
00877059,2023,000,정상,16046197209196.0,6215704796851.0,9830492412345.0,3694588767068.0,1113680009715.0,857691298384.0,207940,삼성바이오로직스,KOSPI,0.6322882451997421,0.05345137462803094,0.3014354451683154,30.406493003424796
00877059,2024,000,정상,17336296349511.0,6431620287493.0,10904676062018.0,4547322176421.0,1320052380133.0,1083315885986.0,207940,삼성바이오로직스,KOSPI,0.5898038832987375,0.06248831146778111,0.29029224869480347,30.483823474473756
00877059,2025,000,정상,11060741976837.0,3609631328852.0,7451110647985.0,4556971695180.0,2069221266630.0,1784352060593.0,207940,삼성바이오로직스,KOSPI,0.48444205157900194,0.16132299843262998,0.45407814773540434,30.03442319628583
00137207,2019,000,정상,169681995778.0,80965533965.0,88716461813.0,108791123335.0,17925772449.0,16186989973.0,011330,유니켐,KOSPI,0.9126325859981014,0.09539603715044653,0.1647723812337267,25.85719190914451
00137207,2020,000,정상,285803950387.0,182219406004.0,103584544383.0,126248781741.0,15329617765.0,11193674808.0,011330,유니켐,KOSPI,1.7591370130494615,0.03916557063974422,0.12142388665934842,26.37857192455449
